ID,Name,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
586,Beans 450g Bag,,5,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/beans.jpg,,,,,,,,,0
587,Courgettes 500g Bag,,5,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/courgette.jpg,,,,,,,,,0
588,Peas 500gm Bag,,5,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/peas.jpg,,,,,,,,,0
589,Cherris - NZ - 250gm punnet,,7,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/Cherry-220x154-1.jpg,,,,,,,,,0
590,Grapes - Red - 500gm punnets,,5,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/FFE2D2B4-5DE1-486E-B453-548EB2C8A6AF.jpeg,,,,,,,,,0
598,Grapes - Green - 500gm punnet,,5,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/3F072EDC-2314-4D0B-9D45-421BC8D1BD71.jpeg,,,,,,,,,0
599,Raspberry - punnet,,5,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/D796877F-C76A-4A7D-AA48-7F64613D675F.jpeg,,,,,,,,,0
600,Strawberries Family Pack - 900gm approx,,15,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/strawberries-1600px.jpg,,,,,,,,,0
601,Cherries NZ -400punnet,,7,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/Cherry-220x154-1.jpg,,,,,,,,,0
602,NZ Leek - Each (Copy),,4,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/leek-vegetables_x700.jpg,,,,,,,,,0
603,NZ Leek - Each (Copy),,4,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/leek-vegetables_x700.jpg,,,,,,,,,0
604,Pears - Bosc NZ - Per kg,,2.95,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/555D7B33-734A-4E21-A41A-BCA068572DD5.jpeg,,,,,,,,,0
